X,Y,Original,Correction,Address,City,State
-87.7221812,41.9703154,3734-42 W Ainslie/ 4900-06 N Ridgeway,0,3734 W Ainslie,Chicago,Illinois
-87.7005916,41.9613487,2854-60 W Montrose/ 4403-13 N Francisco,0,2854 W Montrose,Chicago,Illinois
-87.7160789,41.9641537,4540-42 N St Louis,0,4540 N. St. Louis,Chicago,Illinois
-87.7223658,41.9617024,3745-47 W Agatite,0,3745 W. Agatite,Chicago,Illinois
-87.7130397,41.9645369,3359 W Wilson/ 4547 N Kimball,0,3359 W. Wilson,Chicago,Illinois
-87.7159703,41.9640876,4538 N St Louis,0,4538 N. St. Louis,Chicago,Illinois
-87.7201779,41.9611931,3654-58 W Montrose/ 4403-09 N Lawndale,0,3654 W. Montrose,Chicago,Illinois
-87.7001267,41.9615028,2842-44 W Montrose,0,2842 W. Montrose,Chicago,Illinois
-87.709064,41.9789395,5342-46 N Kedzie,0,5342 N. Kedzie,Chicago,Illinois
-87.7073896,41.9635212,4514 N Troy,0,4514 N. Troy,Chicago,Illinois
-87.7018457,41.9605199,4335-39 N Richmond,0,4335 N. Richmond,Chicago,Illinois
-87.7861134,41.9454315,6361 W Addison,0,6361 W Addison,Chicago,Illinois
-87.7579717,41.93163,5236 W Diversey,0,5236 W Diversey,Chicago,Illinois
-87.7207652,41.9625949,3701-03 W Sunnyside/ 4448-54 N Lawndale,0,3701 W. Sunnyside,Chicago,Illinois
-87.7209685,41.9621638,3708 W Agatite,0,3708 W Agatite,Chicago,Illinois
-87.7219526,41.9617156,3735 W Agatite,0,3735 W Agatite,Chicago,Illinois
-87.7225342,41.9617072,3751 W Agatite,0,3751 W Agatite,Chicago,Illinois
-87.7207744,41.9616656,3701-03 W Agatite/ 4416-18 N Lawndale,0,3701 W. Agatite,Chicago,Illinois
-87.7220035,41.9593565,3734-44 W. Cullom/ 4300-02 N Ridgeway,0,3734 W. Cullom,Chicago,Illinois
-87.730103,41.9592917,4118 W Cullom,0,4118 W. Cullom,Chicago,Illinois
-87.7336413,41.9521161,3907 N Tripp,0,3907 N Tripp,Chicago,Illinois
-87.7401962,41.9638372,4538-42 N Kenneth,0,4538 N. Kenneth,Chicago,Illinois
-87.7224553,41.9572521,3753-57 W Berteau/ 4157 N Hamlin,0,3753 W. Berteau,Chicago,Illinois
-87.7471869,41.9600489,4337 N Cicero/ 4722 W Pensacola,0,4337 N. Cicero,Chicago,Illinois
