"","PROPERTY.GROUP","last_violation","gap","n_serious_violations_year","n_evictions","last_year_serious","n_serious_violations","ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","SSA","LATITUDE","LONGITUDE","LOCATION","street","serious","violation_year"
"1",1075,"2021-06-17",NA,5,14,"2021-06-17",7,5695471,"2018-04-05","2016-07-28","CN062024","COMPLIED","2018-04-05","PARAPET","OTHER   :    :EXTERIOR:","NORTH AND EAST ELEVATIONS / PARAPET WALL - BULGING AND SHIFTING MASONRY. PERMIT ONLY REQUIRED FOR MASONRY REPAIRS.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","365764",11972259,"FAILED","N","PERIODIC","CONSERVATION","118 N GREEN ST",118,"N","GREEN","ST",NA,41.883722304,-87.648730464,"(41.88372230359589, -87.64873046386228)","N GREEN ST","Y",2016
"2",1234,"2022-04-06",NA,6,2,"2022-04-06",11,1331456,"2008-02-11","2006-03-29","CN015062","COMPLIED","2007-12-07","OBSTRUCTIONS IN EXIT WAY",NA,"WEST ELEVATION EXIT DOORS BLOCKED.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00654",1450182,"PASSED","N","PERIODIC","CONSERVATION","1369 W LAKE ST",1369,"W","LAKE","ST",NA,41.885323635,-87.661442967,"(41.88532363459488, -87.66144296674963)","W LAKE ST","Y",2006
"3",1400,"2022-08-20",NA,4,5,"2022-08-20",10,1585023,"2006-08-21","2006-04-13","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCH-208 NORTH UPRIGHT BOWED SCABBED 2ND TO 3RD UPRIGT STACKED THRU-OUT 2ND FLOOR & DOORS UNEVEN","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00754",1409692,"PASSED","N","PERIODIC","CONSERVATION","200 N CALIFORNIA AVE",200,"N","CALIFORNIA","AVE",NA,41.8843052,-87.69652347,"(41.88430520004139, -87.6965234698881)","N CALIFORNIA AVE","Y",2006
"4",1406,"2023-08-19",NA,9,6,"2023-08-19",22,1345206,"2006-04-10","2006-03-28","EL0029","OPEN",NA,"EXPOSED WIRING",NA,"ALL LEVELS OF THE BUILDING","Remove exposed wiring. (18-27-300.4)","BL00669",1455138,"FAILED","N","COMPLAINT","ELECTRICAL","3114 W CARROLL AVE",3114,"W","CARROLL","AVE",NA,41.887651044,-87.704515168,"(41.88765104424036, -87.70451516820755)","W CARROLL AVE","Y",2006
"5",1423,"2023-08-30",NA,9,6,"2023-08-30",34,1577171,"2006-08-18","2006-01-23","CN136016","OPEN",NA,"ROACHES",NA,"ROOM 301 ROACHES","Exterminate roaches and keep dwelling insect-free. (13-196-630 C)","BL00447",914357,"FAILED","N","PERIODIC","CONSERVATION","2847 W WASHINGTON BLVD",2847,"W","WASHINGTON","BLVD",NA,41.882767301,-87.698259954,"(41.88276730057428, -87.69825995386356)","W WASHINGTON BLVD","Y",2006
"6",1435,"2021-08-27",NA,9,1,"2021-08-27",25,6669145,"2022-06-15","2021-08-27","CN197019","COMPLIED","2022-05-04","INSTALL SMOKE DETECTORS","OTHER   :    :BUILDING, BL00876","ALL STAIRWELLS SMOKE DETECTORS MISSING","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL00903",13595705,"FAILED","N","COMPLAINT","CONSERVATION","308 N KEDZIE AVE",308,"N","KEDZIE","AVE",NA,41.886680679,-87.706437392,"(41.88668067940415, -87.706437391851)","N KEDZIE AVE","Y",2021
"7",1443,"2022-11-07",NA,4,9,"2022-11-07",7,1579735,"2007-06-14","2006-01-02","CN104015","COMPLIED","2007-05-21","REPLCE WINDOW PANES, PLEXGLAS",NA,"WINDOW 2ND (SOUTH) MISSING PANE (BOARDED)","Replace broken, missing or defective window panes. (13-196-550 A)","BL01000",1535112,"FAILED","N","PERIODIC","CONSERVATION","3200 W MADISON ST",3200,"W","MADISON","ST",NA,41.881081161,-87.706244119,"(41.88108116086585, -87.70624411906537)","W MADISON ST","Y",2006
"8",1454,"2023-05-18",NA,8,341,"2023-05-18",31,1804763,"2007-09-26","2006-01-02","CN015062","COMPLIED","2007-09-04","OBSTRUCTIONS IN EXIT WAY",NA,"ALL STAIRWELL DORS HAVE A KEY -LOCK -ALTHOUGH THESE  LOCKS ARE OPEN -THEY  MUST  BE REMOVED.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00662",1621459,"FAILED","N","PERIODIC","CONSERVATION","2 N HAMLIN BLVD",2,"N","HAMLIN","BLVD",NA,41.880841477,-87.720902185,"(41.88084147694413, -87.72090218457842)","N HAMLIN BLVD","Y",2006
"9",1516,"2021-10-29",NA,4,4,"2021-10-29",33,2215902,"2008-10-17","2007-01-01","CN135016","COMPLIED","2008-10-07","MICE/RODENTS",NA,"4310 W/APT. 2  MICE.","Exterminate rodents in building and seal openings through which they gain access. (13-196-530 D, 13-196-630 C, 7-28-660)","BL00254",1988585,"FAILED","N","PERIODIC","CONSERVATION","4300 W WEST END AVE",4300,"W","WEST END","AVE",NA,41.88338349,-87.73317251,"(41.88338349025629, -87.73317250994774)","W WEST END AVE","Y",2007
"10",1519,"2023-07-24",NA,8,38,"2023-07-24",46,1490902,"2008-05-29","2006-06-27","CN101015","COMPLIED","2008-05-16","REPAIR INTERIOR WALLS/CEILING",NA,"AT 4202 1ST FLOOR KITCHEN PEELING PAINT 4202 - 4204 INTERIOR STAIRWAY WALLS HOLES","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL01000",1517638,"FAILED","N","PERIODIC","CONSERVATION","112 N KEELER AVE",112,"N","KEELER","AVE",NA,41.882595718,-87.730778355,"(41.8825957181161, -87.73077835499946)","N KEELER AVE","Y",2006
