PROPERTY.GROUP,LATITUDE,LONGITUDE
1075,41.8837223,-87.64873046
1234,41.88532364,-87.66144297
1400,41.8843052,-87.69652347
1406,41.88765104,-87.70451517
1423,41.8827673,-87.69825995
1435,41.88668068,-87.70643739
1443,41.88108116,-87.70624412
1454,41.88084148,-87.72090219
1516,41.88338349,-87.73317251
1519,41.88259572,-87.73077836
1525,41.88329418,-87.73693718
1530,41.88199282,-87.73566389
1543,41.88178632,-87.73831162
1556,41.88050359,-87.75002874
1558,41.88141955,-87.75035623
1560,41.88275606,-87.75407659
1563,41.88376408,-87.75259678
1564,41.88046711,-87.75276814
1576,41.88160433,-87.75320013
1581,41.88184588,-87.75148579
1582,41.88184022,-87.75194095
1584,41.88316966,-87.75092555
1589,41.88307452,-87.76480915
1591,41.88506705,-87.76488716
1592,41.88579587,-87.76491244
1593,41.88667766,-87.76494469
1595,41.88683772,-87.75667244
1607,41.8806542,-87.75888925
1609,41.88063704,-87.76027866
1611,41.88301869,-87.76036256
1619,41.8818367,-87.76174063
1621,41.88406381,-87.76182057
1625,41.88670566,-87.76326344
1628,41.88502487,-87.7634994
1629,41.8852003,-87.76350564
1630,41.88543233,-87.76351197
1632,41.88628625,-87.76354215
1635,41.88215569,-87.763339
1638,41.88483494,-87.76487868
1639,41.88637051,-87.76190191
1645,41.88538247,-87.77467972
1650,41.88138748,-87.76504291
1653,41.88390856,-87.76513491
1654,41.88430602,-87.76515191
1655,41.88579153,-87.76520617
1663,41.88330656,-87.77317993
1664,41.88510283,-87.7732378
1674,41.88363584,-87.77205264
1678,41.88601486,-87.77010858
1684,41.88176656,-87.76670625
1685,41.8823147,-87.76672579
1686,41.88274672,-87.76674199
1689,41.88145129,-87.76831503
1690,41.88206677,-87.76922215
1698,41.8822899,-87.76896791
1722,41.88454011,-87.62430852
1825,41.88729071,-87.62469528
1875,41.88755787,-87.62815307
1938,41.89016137,-87.62884924
2036,41.89613412,-87.6565956
2055,41.89097851,-87.65662838
2214,41.89114061,-87.66203545
2483,41.89018676,-87.70581049
2490,41.89539877,-87.71121631
2493,41.88944778,-87.71506703
2499,41.89102283,-87.71115585
2527,41.89192049,-87.74555147
2528,41.89231802,-87.74556872
2537,41.89394098,-87.74604848
2542,41.88868799,-87.76500812
2543,41.88938364,-87.76503865
2545,41.893025,-87.76517589
2553,41.88899721,-87.76191046
2567,41.89014671,-87.76352628
2571,41.88856062,-87.7747809
2574,41.89391457,-87.77488454
2584,41.88803454,-87.77165961
2586,41.89394034,-87.77207574
2589,41.89035802,-87.76792526
2686,41.89338887,-87.6277024
2739,41.89326515,-87.62181212
2969,41.8982271,-87.62731078
